Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"651038","1","651079","","2009-03-16 15:56:54","","1244","1000729","<p>Executing the command <code>git clone git@github.com:whatever</code> creates a directory in my current folder named whatever, and drops the contents of the Git repository into that folder:</p>

<pre><code>/httpdocs/whatever/public
</code></pre>

<p>My problem is that I need the contents of the Git repository cloned into my current directory so that they appear in the proper location for the web server:</p>

<pre><code>/httpdocs/public
</code></pre>

<p>I know how to move the files after I've cloned the repository, but this seems to break Git, and I'd like to be able to update just by calling <code>git pull</code>. How can I do this?</p>
","78642","BigDave","63550","","2016-12-18 21:25:56","2017-01-08 20:13:13","How do you clone a Git repository into a specific folder?","<git><repository><git-clone>","14","1","273","",""
"2941189","1","2941203","","2010-05-31 03:15:23","","536","1003868","<p>Hoping someone can assist but I need assistance with overlaying one individual <code>div</code> over another individual <code>div</code>.</p>

<p>My code looks like this:</p>

<pre><code>&lt;div class=""navi""&gt;&lt;/div&gt;
&lt;div id=""infoi""&gt;&lt;img src=""info_icon2.png"" height=""20"" width=""32""/&gt;&lt;/div&gt;
</code></pre>

<p>Unfortunately I cannot nest the <code>div#infoi</code> or the <code>img</code>, inside the first <code>div.navi</code>.</p>

<p>It has to be two separate <code>div</code>s as shown but I need to know how I could place the <code>div#infoi</code> over the <code>div.navi</code> and to the right most side and centered on top of the <code>div.navi</code>.</p>

<p>Would appreciate any help in achieving this.</p>
","111479","","6887672","","2017-02-16 15:58:33","2017-02-16 15:58:33","How to overlay one div over another div","<html><css><position><overlay>","6","0","170","",""
"1291942","1","1291950","","2009-08-18 05:20:13","","720","1005206","<pre><code>&lt;a href=""javascript:void(0)"" id=""loginlink""&gt;login&lt;/a&gt;
</code></pre>

<p>I've seen such <code>href</code>s many times, but I don't know what exactly that means.</p>
","104015","","100754","","2009-08-25 17:20:10","2017-01-16 11:28:04","What does ""javascript:void(0)"" mean?","<javascript><html><href><void>","11","5","237","",""
"4037939","1","4038991","","2010-10-27 21:39:29","","898","1006708","<p>I am trying to run the a .cmd file that calls a PowerShell script from the command prompt, and I am getting the below error:</p>

<blockquote>
  <p>Management_Install.ps1 cannot be loaded because the execution of scripts is disabled on this system.</p>
</blockquote>

<p>I have ran <code>set-executionpolicy unrestricted</code> and when I run <code>get-executionpolicy</code> from PowerShell I get <code>unrestricted</code> back.</p>

<blockquote>
  <p>//Output from Powershell</p>
  
  <p>PS C:\Users\Administrator> get-executionpolicy</p>
  
  <p>Unrestricted</p>
  
  <p>//Output from DOS</p>
  
  <p>C:\Projects\Microsoft.Practices.ESB\Source\Samples\Management Portal\Install\Scr</p>
  
  <p>ipts>powershell .\Management_Install.ps1 1</p>
  
  <p>WARNING: Running x86 PowerShell...</p>
  
  <p>File C:\Projects\Microsoft.Practices.ESB\Source\Samples\Management Portal\Install\Scripts\Management_Install.ps1 cannot be loaded because the execution of scripts is disabled on this system. Please see ""get-help about_signing"" for more details.</p>
  
  <p>At line:1 char:25</p>
  
  <ul>
  <li><p>.\Management_Install.ps1 &lt;&lt;&lt;&lt;  1</p>
  
  <ul>
  <li><p>CategoryInfo          : NotSpecified: (:) [], PSSecurityException</p></li>
  <li><p>FullyQualifiedErrorId : RuntimeException</p></li>
  </ul></li>
  </ul>
  
  <p>C:\Projects\Microsoft.Practices.ESB\Source\Samples\Management Portal\Install\Scripts>pause</p>
  
  <p>Press any key to continue . . .</p>
</blockquote>

<p>The system is Windows Server 2008 R2.</p>

<p>What am I doing wrong?</p>
","489400","","63550","","2014-12-01 19:45:19","2017-02-03 11:48:42","PowerShell says ""execution of scripts is disabled on this system.""","<powershell><powershell-v2.0><windows-server-2008-r2>","18","3","225","",""
"1895476","1","13968900","","2009-12-13 03:33:56","","812","1008062","<p>Is there a CSS-only way to style a <code>&lt;select&gt;</code> dropdown?</p>

<p>I need to style a <code>&lt;select&gt;</code> form as much as humanly possible, without any JavaScript. What are the properties I can use to do so in CSS?</p>

<p>This code needs to be compatible with all major browsers:</p>

<ul>
<li>Internet&nbsp;Explorer 6,7 and 8</li>
<li>Firefox</li>
<li>Safari</li>
</ul>

<p>I know I can make it with JavaScript: <a href=""http://www.queness.com/post/204/25-jQuery-plugins-that-enhance-and-beautify-html-form-elements"" rel=""noreferrer"">Example</a>.</p>

<p>And I'm not talking about simple styling. I want to know, what the best we can do with CSS only.</p>

<p>I found <a href=""http://stackoverflow.com/questions/1072239/is-it-possible-to-style-a-select-box"">similar questions</a> on Stack&nbsp;Overflow.</p>

<p>And <a href=""http://doctype.com/style-select"" rel=""noreferrer"">this one</a> on Doctype.com.</p>
","84201","","1113772","","2013-03-01 18:03:14","2017-02-17 02:10:58","How to style a <select> dropdown with CSS only without JavaScript?","<html><css><combobox><cross-browser><skinning>","24","7","310","",""
"175415","1","175446","","2008-10-06 17:53:21","","484","1008651","<p>What is the best way to get the names of all of the tables in a specific database on SQL Server?</p>
","4872","Ray Vega","1708520","","2013-12-07 02:36:10","2017-02-02 20:00:09","How do I get list of all tables in a database using TSQL?","<sql-server><tsql><database-table>","12","2","97","",""
"359494","1","359509","","2008-12-11 14:19:49","","4401","1008848","<p>I'm using <a href=""http://en.wikipedia.org/wiki/JSLint"">JSLint</a> to go through JavaScript, and it's returning many suggestions to replace <code>==</code> (two equals signs) with <code>===</code> (three equals signs) when doing things like comparing <code>idSele_UNVEHtype.value.length == 0</code> inside of an <code>if</code> statement.</p>

<p>Is there a performance benefit to replacing <code>==</code> with <code>===</code>? </p>

<p>Any performance improvement would be welcomed as many comparison operators exist.</p>

<p>If no type conversion takes place, would there be a performance gain over <code>==</code>?</p>
","44990","","1063716","user166390","2016-07-22 15:36:25","2017-03-01 23:44:45","Which equals operator (== vs ===) should be used in JavaScript comparisons?","<javascript><operators><equality><equality-operator><identity-operator>","42","26","1396","",""
"11461607","1","11461676","","2012-07-12 22:23:31","","616","1010603","<p>I am trying to get my first taste of Android development using Eclipse. I ran into this problem when trying to run Eclipse, having installed version 4.2 only minutes ago.</p>

<p>After first trying to start Eclipse without any parameters to specify the Java VM, I got an error message saying it couldn't find a Java VM called javaw.exe inside the Eclipse folder, so I found where Java was installed and specified that location as the parameter in the shortcut's target. Now I get a different error, ""Java was started but returned exit code=13"".</p>

<p>Similar questions seem to indicate that it's a 32-bit/64-bit conflict, but I'm 99% positive that I downloaded 64-bit versions of both Eclipse and Java (RE 7u5), which I chose because I have 64-bit Windows 7. </p>

<ul>
<li>If anyone knows how to confirm that my Eclipse and Java are 64-bit,
that'd be appreciated.</li>
<li>If you think my problem is a different one, please help!</li>
<li>Please speak as plainly as you can, as I am totally new to Eclipse
and Java.</li>
</ul>

<blockquote>
  <p>Shortcut Target: ""C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\eclipse.exe"" -vm ""C:\Program Files (x86)\Java\jre7\bin\javaw.exe""</p>
</blockquote>

<p><strong>Full error code...:</strong></p>

<pre><code>Java was started but returned exit code=13
C:\Program Files (x86)\Java\jre7\bin\javaw.exe
-Xms40m
-Xmx512m
-XX:MaxPermSize=256m
-jar C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\\plugins/org.eclipse.equinox.launcher_1.30v20120522-1813.jar
-os win32
-ws win32
-arch x86_64
-showsplash C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\\plugins\org.eclipse.platform_4.2.0.v201206081400\splash.bmp
-launcher C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\eclipse.exe
-name Eclipse
--launcher.library C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\\plugins/org.eclipse.equinox.launcher.win32.win32.x86_64_1.1.200.v201205221813\eclipse_1503.dll
-startup C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\\plugins/org.eclipse.equinox.launcher_1.30v20120522-1813.jar
--launcher.overrideVmargs
-exitdata 1e30_5c
-vm C:\Program Files (x86)\Java\jre7\bin\javaw.exe
-vmargs
-Xms40m
-Xmx512m
-XX:MaxPermSize=256m
-jar C:\Program Files\Eclipse-SDK-4.2-win32-x86_64\eclipse\\plugins/org.eclipse.equinox.launcher_1.30v20120522-1813.jar
</code></pre>
","1522092","","4864943","user5777746","2016-07-05 08:15:48","2017-01-04 06:22:03","Can't start Eclipse - Java was started but returned exit code=13","<java><android><eclipse><windows>","36","3","113","",""
"419163","1","419185","","2009-01-07 04:11:00","","2545","1013531","<p>What does the <code>if __name__ == ""__main__"":</code> do?</p>

<pre><code># Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while 1:
        lock.acquire()
        time.sleep(sleeptime)
        lock.release()
        time.sleep(sleeptime)
if __name__ == ""__main__"":
    lock = thread.allocate_lock()
    thread.start_new_thread(myfunction, (""Thread #: 1"", 2, lock))
    thread.start_new_thread(myfunction, (""Thread #: 2"", 2, lock))
</code></pre>
","51518","koldfyre","4734394","saua","2017-01-01 16:11:34","2017-01-20 19:32:02","What does if __name__ == ""__main__"": do?","<python><module><namespaces><main><idioms>","16","0","1040","",""
"2353818","1","","","2010-03-01 04:09:28","","1267","1016377","<p>Are there any good resources to get started with Node.JS? Any good tutorials, blogs or books?</p>

<p>Of course, I have visited its official website <a href=""http://nodejs.org/"" rel=""noreferrer"">http://nodejs.org/</a>, but I didn't think the documentation they have is a good starting point.</p>
","279932","","739331","","2013-01-13 16:05:55","2017-01-15 09:48:58","How do I get started with Node.js","<javascript><node.js>","3","1","4261","","2012-10-02 22:04:34"
